figure_id	reference_key	reference_no	material	image_file	what_it_shows	role_in_review	inserted
F01	kosciesza2013	4	CdZnTe	output/important_pages/Kosciesza_2013_X_ray_diffraction_imaging_system_for_the_detection_of_illicit_substances_us_p03.png	CEA-Leti/Morpho XDi system module and 22 +/- 1 C operating condition.	Shows why XDi uses near-room-temperature CdZnTe control instead of cooled Ge.	yes
F02	montemont2013	3	CdZnTe	output/important_pages/Mont_mont_2013_An_autonomous_CZT_module_for_X_ray_diffraction_imaging_p02.png	Autonomous CZT module architecture, detector/ASIC chain and room-temperature module concept.	Supports the module-level engineering route for EDXRD baggage screening.	yes
F03	greenberg2016	6	CdZnTe	output/important_pages/Greenberg_2016_High_precision_medium_flux_rate_CZT_spectroscopy_for_coherent_scatter_imagi_p03.png	Duke/Redlen medium-flux CZT detector layout and thermal/structural isolation idea.	Connects detector temperature sensitivity with coherent scatter system design.	yes
F04	stryker2021	7	Not CdZnTe/CdTe	output/important_pages/Stryker_2021_X_ray_fan_beam_coded_aperture_transmission_and_diffraction_imaging_for_fast_m_p02.png	Fan-beam coded-aperture XRD prototype geometry using an energy-integrating flat panel.	Application benchmark: useful for discussing what CdZnTe/CdTe would need to replace.	yes
F05	veale2020	1	CdZnTe	output/important_pages/Veale_2020_Characterization_of_the_Uniformity_of_High_Flux_CdZnTe_Material_p08.png	Redlen HF-CdZnTe/HEXITEC 241Am spectrum and FWHM uniformity maps.	Supports near-room-temperature CdZnTe spectral-resolution stability and spatial uniformity.	yes
F06	cline2024	2	CdZnTe	output/important_pages/Cline_2024_Characterisation_of_Redlen_HF_CdZnTe_at_10_6_ph_s_1_mm_2_using_HEXITEC_MHz_p09.png	HEXITEC MHz calibrated high-gain CSD spectrum at 20 keV with Gaussian fit.	Shows high-flux CdZnTe can retain spectroscopic resolution after calibration.	yes
F07	cline2024	2	CdZnTe	output/important_pages/Cline_2024_Characterisation_of_Redlen_HF_CdZnTe_at_10_6_ph_s_1_mm_2_using_HEXITEC_MHz_p15.png	Al attenuation protocol and flux-dependent 0-gamma peak-position shift.	Shows that high-flux CdZnTe still needs leakage/baseline correction at high flux.	yes
F08	bale2008	21	CdZnTe	output/important_pages/supplement1/Bale_Szeles_2008_PRB_CdZnTe_high_flux_polarization_p06-06.png	PRB model: trapped-hole space charge creates field pinch and changes electron transport.	Mechanistic figure for CdZnTe high-flux polarization.	yes
F09	bale2008	21	CdZnTe	output/important_pages/supplement1/Bale_Szeles_2008_PRB_CdZnTe_high_flux_polarization_p14-14.png	Experimental validation of critical flux dependence on bias and temperature.	Supports V^2 dependence and exponential temperature dependence of critical flux.	yes
F10	thomas2017	11	CdZnTe	output/important_pages/supplement1/Thomas_2017_Redlen_high_flux_CdZnTe_p09-09.png	Redlen HF-CdZnTe pulse shapes, spectra versus bias, and Hecht charge-collection fit.	Shows bias-dependent charge collection and transport evidence under controlled CdZnTe operation.	yes
F11	prokesch2016	12	CdZnTe	output/important_pages/supplement1/Prokesch_2016_CdZnTe_100M_ph_mm2_s_p05-5.png	Room-temperature high-flux CdZnTe count response and non-polarizing behavior.	Key evidence for CdZnTe operation at very high photon flux near room temperature.	yes
F12	baussens2022	13	CdZnTe	output/important_pages/supplement1/Baussens_2022_HF_CdZnTe_optimized_electrodes_p05-05.png	20 C dark-current I-V of optimized Redlen HF-CdZnTe contacts.	Shows contact engineering lowers leakage and enables high bias.	yes
F13	baussens2022	13	CdZnTe	output/important_pages/supplement1/Baussens_2022_HF_CdZnTe_optimized_electrodes_p09-09.png	High-flux stability/hysteresis behavior up to synchrotron-relevant fluxes.	Shows upper flux boundary and residual field-evolution effects.	yes
F14	bettelli2023	14	CdZnTe	output/important_pages/supplement1/Bettelli_2023_Pt_contacts_HF_CdZnTe_p08-08.png	Pt/CdTeO3/CZT interface and spectroscopic/contact-performance evidence.	Explains why contact engineering, not only cooling, controls HF-CdZnTe leakage.	yes
F15	greiffenberg2025	10	CdTe; CdZnTe	output/important_pages/Greiffenberg_2025_Signal_stability_of_high_Z_sensors_at_synchrotron_light_sources_p09.png	Redlen high-flux CdZnTe signal stability at 0/15/30 C and high flux.	Direct material comparison evidence favoring CdZnTe stability.	yes
F16	greiffenberg2025	10	CdTe; CdZnTe	output/important_pages/Greiffenberg_2025_Signal_stability_of_high_Z_sensors_at_synchrotron_light_sources_p14.png	CdTe Schottky continuous-illumination instability and bias-refresh comparison.	Contrasts CdTe transient instability with CdZnTe stability.	yes
F17	toyama2006	19	CdTe	output/important_pages/supplement1/Toyama_2006_CdTe_polarization_quantitative_p04-4.png	CdTe temperature-dependent barrier lowering and detrapping-time table.	Quantitative support for temperature-controlled CdTe polarization time constants.	yes
F18	toyama2006	19	CdTe	output/important_pages/supplement1/Toyama_2006_CdTe_polarization_quantitative_p06-6.png	Modified CdTe field-distribution model and 59.5 keV photopeak shift onset.	Links electric-field evolution to peak-position drift.	yes
F19	principato2012	20	CdTe	output/important_pages/supplement1/Principato_2012_Al_p_CdTe_Pt_time_dependent_IV_p04-4.png	Al/p-CdTe/Pt I-V curves as a function of temperature and measurement delay.	Shows CdTe leakage/current data depend on temperature and time after bias.	yes
F20	principato2012	20	CdTe	output/important_pages/supplement1/Principato_2012_Al_p_CdTe_Pt_time_dependent_IV_p07-7.png	Activation energy and polarization time versus temperature.	Supports cooling as a way to increase CdTe polarization time.	yes
F21	cola2009	17	CdTe	output/important_pages/supplement1/Cola_Farella_2009_CdTe_Schottky_polarization_mechanism_p03-3.png	Arrhenius analysis of CdTe Schottky polarization time constants.	Mechanistic support for thermally activated CdTe polarization.	yes
F22	meyer2022	18	CdTe	output/important_pages/supplement1/Meyer_2022_CdTe_Schottky_radiation_damage_20keV_p09-09.png	CdTe Schottky normalized hit maps after 5 h at 0/15/30 C.	Strong visual evidence of CdTe polarization acceleration with temperature.	yes
F23	meyer2022	18	CdTe	output/important_pages/supplement1/Meyer_2022_CdTe_Schottky_radiation_damage_20keV_p12-12.png	CdTe leakage-current increase versus time and temperature.	Shows leakage current as a temperature-dependent stability metric.	yes
F24	astromskas2016	15	CdTe	output/important_pages/supplement1/Astromskas_2016_Schottky_CdTe_Medipix3RX_polarization_p05-5.png	Schottky CdTe Medipix3RX polarization/tri-phase pixel and reset behavior.	Supports the need for bias-reset scheduling and flat-field control.	yes
F25	becker2017	16	CdTe	output/important_pages/supplement1/Becker_2017_hole_collecting_Schottky_CdTe_sub_microsecond_p06-06.png	Hole-collecting Schottky CdTe persistence after shutter closure and decay time constant from -30 C to +20 C.	Shows cooling can reduce leakage/polarization yet lengthen some delayed-response time scales.	yes
F26	franklin2024	9	CdTe	output/important_pages/Franklin_2024_Characterizing_electron_collecting_CdTe_for_use_in_a_77_ns_burst_rate_imager_p05.png	Electron-collecting CdTe polarization under flood illumination as a function of bias and temperature, with before/after response maps.	Shows lower temperature and higher bias delay CdTe polarization and preserve response uniformity.	yes
